,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:55.342000,VER,1,0 days 00:01:57.858000,1.0,1.0,0 days 00:15:59.527000,,54.215,21.179,42.464,0 days 00:16:51.969000,0 days 00:17:13.074000,0 days 00:17:55.522000,256.0,279.0,304.0,45.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:15:59.527000,2025-03-14 05:00:59.977,1,,False,,False,False,117.858,117.858
1,0 days 00:19:13.852000,VER,1,0 days 00:01:18.510000,2.0,1.0,,,27.458,17.615,33.437,0 days 00:18:22.800000,0 days 00:18:40.415000,0 days 00:19:13.852000,284.0,321.0,306.0,324.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:55.342000,2025-03-14 05:02:55.792,1,,False,,False,True,78.51,78.50999999999999
2,0 days 00:21:35.253000,VER,1,0 days 00:02:21.401000,3.0,1.0,,,49.781,37.938,53.682,0 days 00:20:03.633000,0 days 00:20:41.571000,0 days 00:21:35.253000,136.0,179.0,305.0,257.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:19:13.852000,2025-03-14 05:04:14.302,1,,False,,False,True,141.401,141.401
3,0 days 00:22:53.146000,VER,1,0 days 00:01:17.893000,4.0,1.0,,,27.102,17.517,33.274,0 days 00:22:02.355000,0 days 00:22:19.872000,0 days 00:22:53.146000,285.0,320.0,303.0,323.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:21:35.253000,2025-03-14 05:06:35.703,1,,False,,False,True,77.893,77.893
4,0 days 00:41:11.309000,VER,1,,5.0,1.0,,0 days 00:24:47.999000,50.072,25.722,,0 days 00:23:43.524000,0 days 00:24:09.113000,,163.0,274.0,,231.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:22:53.146000,2025-03-14 05:07:53.596,1,,False,,False,False,,
5,0 days 00:42:59.026000,VER,1,0 days 00:01:47.717000,6.0,2.0,0 days 00:41:13.479000,,40.661,22.43,44.626,0 days 00:41:51.970000,0 days 00:42:14.400000,0 days 00:42:59.026000,222.0,259.0,306.0,184.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:41:11.309000,2025-03-14 05:26:11.759,1,,False,,False,False,107.717,107.717
6,0 days 00:44:58.728000,VER,1,0 days 00:01:59.702000,7.0,2.0,,,34.022,32.504,53.176,0 days 00:43:33.048000,0 days 00:44:05.552000,0 days 00:44:58.728000,160.0,168.0,304.0,324.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:42:59.026000,2025-03-14 05:27:59.476,1,,False,,False,True,119.702,119.702
7,0 days 00:46:16.205000,VER,1,0 days 00:01:17.477000,8.0,2.0,,,27.027,17.456,32.994,0 days 00:45:25.755000,0 days 00:45:43.211000,0 days 00:46:16.205000,284.0,321.0,306.0,323.0,True,SOFT,3.0,True,Red Bull Racing,0 days 00:44:58.728000,2025-03-14 05:29:59.178,1,,False,,False,True,77.477,77.477
8,0 days 00:48:46.564000,VER,1,,9.0,2.0,,,47.441,35.236,67.665,0 days 00:47:04.431000,0 days 00:47:39.270000,0 days 00:48:46.732000,142.0,143.0,152.0,243.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:46:16.205000,2025-03-14 05:31:16.655,1,,False,,False,False,,150.34199999999998
9,0 days 00:50:54.694000,VER,1,0 days 00:02:08.130000,10.0,2.0,,,48.997,27.14,51.993,0 days 00:49:35.561000,0 days 00:50:02.701000,0 days 00:50:54.694000,176.0,199.0,305.0,114.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:48:46.564000,2025-03-14 05:33:47.014,1,,False,,False,True,128.13,128.13
10,0 days 00:52:11.757000,VER,1,0 days 00:01:17.063000,11.0,2.0,,,26.887,17.324,32.852,0 days 00:51:21.581000,0 days 00:51:38.905000,0 days 00:52:11.757000,284.0,322.0,306.0,324.0,True,SOFT,6.0,True,Red Bull Racing,0 days 00:50:54.694000,2025-03-14 05:35:55.144,1,,False,,False,True,77.063,77.06299999999999
11,0 days 01:04:59.251000,VER,1,,12.0,2.0,,0 days 00:53:36.522000,30.228,19.541,,0 days 00:52:42.156000,0 days 00:53:01.829000,,253.0,286.0,,242.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:52:11.757000,2025-03-14 05:37:12.207,1,,False,,False,False,,
12,0 days 01:06:35.495000,VER,1,0 days 00:01:36.244000,13.0,3.0,0 days 01:05:01.269000,,37.774,18.633,39.837,0 days 01:05:37.025000,0 days 01:05:55.658000,0 days 01:06:35.495000,269.0,287.0,285.0,146.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 01:04:59.251000,2025-03-14 05:49:59.701,1,,False,,False,False,96.244,96.244
13,0 days 01:07:57.785000,VER,1,0 days 00:01:22.290000,14.0,3.0,,,28.692,18.448,35.15,0 days 01:07:04.187000,0 days 01:07:22.635000,0 days 01:07:57.785000,275.0,288.0,282.0,286.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 01:06:35.495000,2025-03-14 05:51:35.945,1,,False,,False,True,82.29,82.28999999999999
14,0 days 01:09:19.822000,VER,1,0 days 00:01:22.037000,15.0,3.0,,,28.625,18.34,35.072,0 days 01:08:26.410000,0 days 01:08:44.750000,0 days 01:09:19.822000,276.0,287.0,282.0,284.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:07:57.785000,2025-03-14 05:52:58.235,1,,False,,False,True,82.037,82.037
15,0 days 01:10:42.899000,VER,1,0 days 00:01:23.077000,16.0,3.0,,,28.647,18.246,36.184,0 days 01:09:48.469000,0 days 01:10:06.715000,0 days 01:10:42.899000,275.0,290.0,281.0,286.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:09:19.822000,2025-03-14 05:54:20.272,1,,False,,False,True,83.077,83.077
16,0 days 01:12:05.198000,VER,1,0 days 00:01:22.299000,17.0,3.0,,,28.836,18.261,35.202,0 days 01:11:11.735000,0 days 01:11:29.996000,0 days 01:12:05.198000,276.0,290.0,283.0,,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:10:42.899000,2025-03-14 05:55:43.349,1,,False,,False,True,82.299,82.29899999999999
17,0 days 01:13:27.524000,VER,1,0 days 00:01:22.326000,18.0,3.0,,,28.852,18.219,35.255,0 days 01:12:34.050000,0 days 01:12:52.269000,0 days 01:13:27.524000,275.0,291.0,287.0,287.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:12:05.198000,2025-03-14 05:57:05.648,1,,False,,False,True,82.326,82.326
18,0 days 01:14:49.553000,VER,1,0 days 00:01:22.029000,19.0,3.0,,,28.603,18.232,35.194,0 days 01:13:56.127000,0 days 01:14:14.359000,0 days 01:14:49.553000,277.0,292.0,287.0,299.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:13:27.524000,2025-03-14 05:58:27.974,1,,False,,False,True,82.029,82.029
19,0 days 01:16:11.059000,VER,1,0 days 00:01:21.506000,20.0,3.0,,,28.485,18.145,34.876,0 days 01:15:18.038000,0 days 01:15:36.183000,0 days 01:16:11.059000,280.0,291.0,286.0,303.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:14:49.553000,2025-03-14 05:59:50.003,1,,False,,False,True,81.506,81.506
20,0 days 01:18:42.411000,VER,1,,21.0,3.0,,,41.152,27.895,82.231,0 days 01:16:52.466000,0 days 01:17:20.297000,0 days 01:18:42.411000,183.0,187.0,82.0,228.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:16:11.059000,2025-03-14 06:01:11.509,1,,False,,False,False,,151.278
21,0 days 01:20:12.401000,VER,1,,22.0,3.0,,0 days 01:20:12.401000,34.294,21.027,,0 days 01:19:16.745000,0 days 01:19:37.775000,,215.0,273.0,,252.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:18:42.411000,2025-03-14 06:03:42.861,1,,False,,False,False,,
22,0 days 00:18:05.653000,NOR,4,0 days 00:02:27.527000,1.0,1.0,0 days 00:15:41.561000,,79.095,19.28,49.152,0 days 00:16:57.424000,0 days 00:17:16.636000,0 days 00:18:05.707000,255.0,306.0,304.0,46.0,False,MEDIUM,1.0,True,McLaren,0 days 00:15:41.561000,2025-03-14 05:00:42.011,1,,False,,False,False,147.527,147.527
23,0 days 00:19:23.324000,NOR,4,0 days 00:01:17.671000,2.0,1.0,,,27.064,17.682,32.925,0 days 00:18:32.717000,0 days 00:18:50.399000,0 days 00:19:23.324000,285.0,318.0,307.0,320.0,True,MEDIUM,2.0,True,McLaren,0 days 00:18:05.653000,2025-03-14 05:03:06.103,1,,False,,False,True,77.671,77.67099999999999
24,0 days 00:21:50.781000,NOR,4,0 days 00:02:27.457000,3.0,1.0,,,50.03,37.161,60.266,0 days 00:20:13.354000,0 days 00:20:50.515000,0 days 00:21:50.781000,119.0,146.0,305.0,233.0,False,MEDIUM,3.0,True,McLaren,0 days 00:19:23.324000,2025-03-14 05:04:23.774,1,,False,,False,True,147.457,147.457
25,0 days 00:23:35.017000,NOR,4,0 days 00:01:44.236000,4.0,1.0,,,37.459,25.527,41.25,0 days 00:22:28.240000,0 days 00:22:53.767000,0 days 00:23:35.017000,147.0,255.0,306.0,321.0,False,MEDIUM,4.0,True,McLaren,0 days 00:21:50.781000,2025-03-14 05:06:51.231,1,,False,,False,True,104.236,104.236
26,0 days 00:25:36.357000,NOR,4,0 days 00:02:01.340000,5.0,1.0,,,34.985,33.198,53.157,0 days 00:24:10.002000,0 days 00:24:43.200000,0 days 00:25:36.357000,161.0,168.0,302.0,322.0,False,MEDIUM,5.0,True,McLaren,0 days 00:23:35.017000,2025-03-14 05:08:35.467,1,,False,,False,True,121.34,121.33999999999999
27,0 days 00:26:53.832000,NOR,4,0 days 00:01:17.475000,6.0,1.0,,,27.046,17.659,32.77,0 days 00:26:03.403000,0 days 00:26:21.062000,0 days 00:26:53.832000,284.0,315.0,305.0,318.0,True,MEDIUM,6.0,True,McLaren,0 days 00:25:36.357000,2025-03-14 05:10:36.807,1,,False,,False,True,77.475,77.475
28,0 days 00:29:00.353000,NOR,4,0 days 00:02:06.521000,7.0,1.0,,,42.818,32.212,51.491,0 days 00:27:36.650000,0 days 00:28:08.862000,0 days 00:29:00.353000,152.0,110.0,303.0,253.0,False,MEDIUM,7.0,True,McLaren,0 days 00:26:53.832000,2025-03-14 05:11:54.282,1,,False,,False,True,126.521,126.521
29,0 days 00:36:53.641000,NOR,4,,8.0,1.0,,0 days 00:30:20.333000,26.767,17.616,,0 days 00:29:27.327000,0 days 00:29:44.869000,,285.0,314.0,,318.0,False,MEDIUM,8.0,True,McLaren,0 days 00:29:00.353000,2025-03-14 05:14:00.803,1,,False,,False,False,,
